Id	D8B1	D8B2	D8B3	D8B6	D8B7	D8B8	D8B9	D20B1	D20B2	D20B3	D20B6	D20B7	D20B8	D20B9	norm.D8B1	norm.D8B2	norm.D8B3	norm.D8B6	norm.D8B7	norm.D8B8	norm.D8B9	norm.D20B1	norm.D20B2	norm.D20B3	norm.D20B6	norm.D20B7	norm.D20B8	norm.D20B9	baseMean	D8	D20	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
PRELSG_1020700	12894	3373	373	4185	10487	12625	7276	1875	43	389	33	693	181	87	1076	899	957	813	983	988	1030	837	784	1223	816	1112	936	1128	970.09	964	977	1.005	0.007	0.055	0.956162458469481	0.999204487240972	0.0117	0.0481	0.0241	0.0241	TRUE	NA
PRELSG_1020800	0	1	0	1	2	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.14	0	0	7.542	2.915	1.073	0.283321966689157	NA	0	13.6917	11.0105	11.0105	TRUE	NA
PRELSG_1020900	10	1	1	1	10	5	2	6	0	1	0	2	0	0	1	0	3	0	1	0	0	3	0	3	0	3	0	0	1.04	1	1	4.369	2.127	2.11	0.0348832453084376	NA	0	1.8496	0.9329	0.9329	TRUE	NA
PRELSG_1021000	491	111	18	135	422	458	271	77	3	13	1	22	5	5	41	30	46	26	40	36	38	34	55	41	25	35	26	65	38.38	37	40	0.954	-0.068	-0.253	0.800078860717191	0.999204487240972	0	0.0949	0.0496	0.0496	TRUE	NA
PRELSG_1021100	861	316	29	581	765	1291	653	291	1	24	3	39	20	4	72	84	74	113	72	101	92	130	18	75	74	63	103	52	80.29	87	74	0.947	-0.078	-0.298	0.765459038692182	0.999204487240972	0.0737	0.0695	0.0717	0.0717	TRUE	NA
PRELSG_1021200	55	8	2	15	83	71	26	8	1	1	1	3	1	1	5	2	5	3	8	6	4	4	18	3	25	5	5	13	7.46	5	10	1.211	0.277	0.478	0.632390065027689	0.999204487240972	0.078	0.2967	0.1971	0.1971	TRUE	NA
PRELSG_1021300	89	23	3	37	61	115	32	16	0	0	2	1	4	0	7	6	8	7	6	9	5	7	0	0	49	2	21	0	9.04	7	11	0.945	-0.082	-0.117	0.906991122631443	0.999204487240972	0.6197	0.2528	0.4217	0.4217	TRUE	NA
PRELSG_1021400	5	3	1	3	4	6	2	3	0	0	0	0	0	0	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0.49	1	0	2.35	1.233	0.889	0.374150964709425	NA	0	3.8748	2.2043	2.2043	TRUE	NA
PRELSG_1021500	379	109	12	165	379	305	212	66	1	9	0	21	3	4	32	29	31	32	36	24	30	29	18	28	0	34	16	52	27.85	31	25	0.898	-0.155	-0.513	0.608250628451348	0.999204487240972	0	0.1133	0.0606	0.0606	TRUE	NA
PRELSG_1021600	304	47	2	113	299	203	98	23	0	3	2	4	1	4	25	13	5	22	28	16	14	10	0	9	49	6	5	52	18.24	18	19	0.722	-0.469	-0.834	0.404357594547789	0.999204487240972	0.4223	0.1486	0.2815	0.2815	TRUE	NA
PRELSG_1021700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRELSG_1021800	906	362	35	464	930	1063	601	226	5	25	4	64	17	5	76	96	90	90	87	83	85	101	91	79	99	103	88	65	88.03	87	89	1.086	0.119	0.593	0.553429156185235	0.999204487240972	0	0.0674	0.0345	0.0345	TRUE	NA
PRELSG_1021900	94	25	4	41	85	118	52	10	1	5	0	8	1	1	8	7	10	8	8	9	7	4	18	16	0	13	5	13	9.05	8	10	1.058	0.081	0.159	0.873462334753334	0.999204487240972	0	0.2527	0.1717	0.1717	TRUE	NA
PRELSG_1022000	313	149	15	171	312	425	201	76	1	11	0	9	7	1	26	40	38	33	29	33	28	34	18	35	0	14	36	13	27.06	32	21	0.794	-0.333	-0.957	0.338549958965123	0.999204487240972	0	0.1152	0.0955	0.0955	TRUE	NA
PRELSG_1022100	37	13	0	21	27	56	17	6	0	0	1	2	1	1	3	3	0	4	3	4	2	3	0	0	25	3	5	13	4.91	3	7	1.524	0.608	0.853	0.393789838855023	0.999204487240972	0.2262	0.4269	0.3308	0.3308	TRUE	NA
PRELSG_1022200	387	124	15	221	351	595	238	100	3	10	0	21	9	6	32	33	38	43	33	47	34	45	55	31	0	34	47	78	39.19	37	41	1.154	0.206	0.745	0.456459765544669	0.999204487240972	0.026	0.0939	0.0603	0.0603	TRUE	NA
